"","popsize","genotype","media","mat","sd.ls","medianLS","Delta_LL","AvgLS","gompLoglik","gompRate","gompShape","weibLogLik","weibScale","weibShape"
"129","40","lf960","YPD","MATalpha","7.87526963315364","24","2.42780839318002","24.675","-140.820989538922","0.00397992798434017","0.121822698165224","-138.393181145741","27.4667876428796","3.51940384331788"
"130","40","BR2200","YPD","MATa","8.74188268169465","23.5","5.07401257628939","23.8","-147.884627425033","0.00932751844052211","0.08317514198813","-142.810614848744","26.6402354935249","2.88185813593131"
"131","40","lf960","YPD","MATalpha","8.95515894861011","23.5","2.60536009941694","24.6","-147.115642365373","0.00741553208493364","0.0905892610925707","-144.510282265956","27.4443514133441","2.94395706684259"
"132","19","BY4743","YPD + CLS80 Day 23 SC 2% D Replicate A","diploid","13.3138014834802","1","1.45365825574674","9.57894736842105","-60.6085782824891","0.161222701627596","-0.0380737651744724","-59.1549200267424","7.22988402905671","0.684527036430004"
"133","40","Wild Type","YPD","MATalpha","8.12210500692953","15.5","1.41844247771027","17.325","-140.878481960483","0.0164922154933754","0.0913591422443948","-139.460039482772","19.4864709233801","2.24303683039257"
"134","40","lf960","YPD","MATalpha","6.51054371670903","22.5","3.27263835296185","22.65","-134.592060932882","0.00358361653727776","0.144219880236359","-131.31942257992","25.061944637761","3.81605717208596"
"135","40","BY4743","YPD","diploid","12.517449359256","21.5","0.615541266959184","25.325","-156.037307836018","0.0100602994276722","0.0670572959715987","-155.421766569059","28.6946616065858","2.20493599819861"
"136","80","Wild Type","YPD","MATa","5.78790478257477","17","7.54573919762584","17.7625","-260.875058397066","0.00740835579087392","0.148864660742919","-253.32931919944","19.795608332314","3.30737924084364"
"137","40","Wild Type","YPD","MATalpha","11.1050923869672","22.5","6.59829568502823","24.1","-156.535958304627","0.0160941558615845","0.050452284613298","-149.937662619599","27.2694862600543","2.31064898642388"
"138","40","Wild Type","YPD","MATalpha","6.85186667435064","20","1.59958346508125","21.025","-134.480541037846","0.00450866944234139","0.144577409779542","-132.880957572765","23.4087329146416","3.46874617416612"
"139","40","Wild Type","YPD","MATalpha","9.60021367283575","26","0.608717453974037","26.3","-147.722481035118","0.00508477092490479","0.0984198947488398","-147.113763581144","29.3653182235889","3.0066256290675"
"140","39","A364","YPD","MATa","9.86535534926854","18","1.82064666259737","19.1282051282051","-143.63693429735","0.0174120251422249","0.0714769085059378","-141.816287634752","21.6564923638684","2.08977657111353"
"141","39","R1158","YPD","MATa","11.1972258951175","18","1.05767868335928","18.2051282051282","-146.35026236757","0.0263892686872894","0.0484503148624243","-145.292583684211","20.4305822467032","1.69958739083144"
"142","40","BY4741 ","YPD","MATa","6.31623873795725","24","3.97849802249607","23.45","-134.440221020636","0.0034269879946852","0.141365889409943","-130.46172299814","25.8138964515341","4.02668545445147"
"143","40","Wild Type","YPD","MATalpha","8.35678750692498","27","2.42022084643546","27.1","-143.312644403366","0.00323687103535131","0.116248421122405","-140.89242355693","30.1028218315402","3.63385880666823"
"144","40","BY4742","YPD","MATalpha","11.9245491233368","24","2.99769557435997","26.4","-156.710499695588","0.010318528166346","0.0627292277264244","-153.712804121228","29.868344360571","2.41651085733449"
"145","39","GS1821","YPD","MATa","8.39027777451994","24","0.795037629168604","24.1538461538462","-138.234693330891","0.00426301553121553","0.120614365073261","-137.439655701722","26.9792593572306","3.25414035545808"
"146","80","BY4742 MAT alpha","YPD","MATalpha","9.18002095913329","29","1.12850912965376","29.825","-291.629911023571","0.00249897208252132","0.11220459112621","-290.501401893917","33.0341893144604","3.66867788425314"
"147","37","BY4742","YPD","MATalpha","14.9744527190223","13","1.84006944173149","14.6486486486486","-136.318707195901","0.0692360474259053","-0.000959536005583438","-134.478637754169","12.8305305416284","0.781514796004923"
"148","40","BY4742","YPD","MATalpha","10.8367548837397","28","2.1022514534111","30.525","-153.758652485671","0.00464902902634994","0.0827888807840309","-151.65640103226","34.0858930051723","3.0791380963382"
"149","40","BY4742 WT","YPD","MATalpha","10.9039806892618","27","-1.12031940078421","26.225","-150.912928796263","0.00602483073006316","0.0891913332294898","-152.033248197047","29.4367567044884","2.63437974829458"
"150","40","Wild Type","YPD","MATalpha","12.4458828533777","25","-5.02402066510717","23.85","-154.383673420764","0.0112143133253944","0.0684066675732499","-159.407694085871","26.3593067219715","1.80833862939169"
"151","60","Wild Type","YPD","MATalpha","8.16169570837814","20","6.32875723540508","20.7166666666667","-216.076825454577","0.0114531727131429","0.0901789856329329","-209.748068219172","23.2738523990669","2.70062781997013"
"152","40","BY4742 WT","YPD","MATalpha","9.78421019964152","24","1.73698034975834","24.25","-149.033690565161","0.00815228796080445","0.0859812505495382","-147.296710215402","27.2274658429459","2.68275315641243"
"153","40","WT","YPD","MATa","8.06285404708627","20","4.70705507326821","20.375","-144.86885797517","0.0139580370639645","0.0809805230525473","-140.161802901902","22.7851647835122","2.61082098839603"
"154","40","BY4742","YPD","MATalpha","6.47475373257052","23","-0.188992797772613","22.775","-130.23930975567","0.00192781002657146","0.175425871159382","-130.428302553443","25.1070430657068","4.15408168187573"
"155","40","BY4741","YPD","MATa","11.3223174215737","18.5","2.73639977356981","19.9","-152.458887349118","0.0228268411986877","0.0486606352040217","-149.722487575548","22.4777818026107","1.8765371950735"
